                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.9265,                0.92855,                 1.1048,                0.72659,                0.71439,                0.72129,                0.55347,                0.66962,                0.47172,                 0.9084,              0.0033304,              0.0033304,              0.0033304
                      2,                0.77037,                0.54769,                0.99821,                0.80959,                0.72823,                0.78989,                0.61631,                0.66956,                0.47054,                 0.9089,              0.0066631,              0.0066631,              0.0066631
                      3,                0.80044,                0.56463,                 1.0141,                0.73153,                0.80628,                0.79335,                0.58793,                 0.7235,                0.53029,                0.95245,              0.0099951,              0.0099951,              0.0099951
                      4,                0.79849,                0.55866,                 1.0182,                0.72312,                0.77475,                0.76049,                 0.5792,                0.70768,                0.48854,                 0.9429,               0.009997,               0.009997,               0.009997
                      5,                0.75951,                0.51665,                 1.0018,                0.77656,                0.82913,                0.84033,                0.64468,                0.65436,                0.43734,                 0.9228,               0.009996,               0.009996,               0.009996
                      6,                0.73352,                 0.4904,                0.99355,                0.75775,                0.85214,                0.83833,                0.64273,                0.65197,                 0.4412,                0.92318,              0.0099951,              0.0099951,              0.0099951
                      7,                0.72028,                0.47042,                0.98546,                0.80728,                0.85913,                0.86742,                0.68943,                0.62058,                0.39671,                0.89896,              0.0099941,              0.0099941,              0.0099941
                      8,                0.70066,                0.45223,                0.97914,                0.81522,                0.87412,                0.89021,                0.70524,                0.62821,                0.38745,                0.90259,              0.0099931,              0.0099931,              0.0099931
                      9,                0.69038,                0.44044,                 0.9746,                0.83881,                0.83574,                0.88394,                 0.7109,                0.60989,                0.37468,                 0.8986,              0.0099921,              0.0099921,              0.0099921
                     10,                0.68116,                0.43028,                0.97134,                0.82137,                0.88001,                0.89078,                0.71471,                0.59924,                0.36459,                0.88921,              0.0099911,              0.0099911,              0.0099911
                     11,                0.67542,                0.42523,                0.96874,                0.77997,                0.88622,                0.88023,                0.72667,                0.59436,                0.35719,                0.88769,              0.0099901,              0.0099901,              0.0099901
                     12,                0.66645,                0.41642,                 0.9622,                0.81492,                 0.9161,                0.88071,                0.71689,                0.58237,                0.34956,                0.88218,              0.0099891,              0.0099891,              0.0099891
                     13,                0.66075,                0.40778,                0.96023,                 0.8358,                0.91515,                0.91063,                0.75166,                0.58237,                0.34829,                0.88137,              0.0099881,              0.0099881,              0.0099881
                     14,                0.65441,                0.40242,                0.95741,                 0.7961,                0.89998,                0.87829,                0.72892,                0.57557,                0.34607,                0.87364,              0.0099871,              0.0099871,              0.0099871
                     15,                0.65187,                0.40014,                0.95544,                0.81326,                0.91465,                0.89674,                0.73193,                 0.5745,                0.33641,                 0.8793,              0.0099861,              0.0099861,              0.0099861
                     16,                0.64605,                0.39486,                0.95234,                0.84878,                0.89605,                0.90389,                0.73809,                0.57324,                0.33893,                0.87587,              0.0099851,              0.0099851,              0.0099851
                     17,                0.64255,                0.39078,                0.95151,                0.83947,                0.90345,                0.90763,                0.74018,                0.56966,                0.33163,                0.87594,              0.0099842,              0.0099842,              0.0099842
                     18,                0.64105,                0.38631,                 0.9494,                 0.8542,                0.89348,                0.91563,                0.75324,                0.56288,                 0.3227,                0.87416,              0.0099832,              0.0099832,              0.0099832
                     19,                0.63584,                0.38348,                 0.9496,                0.86726,                0.91783,                0.92969,                 0.7653,                0.56068,                0.31751,                0.86902,              0.0099822,              0.0099822,              0.0099822
                     20,                 0.6311,                0.37906,                0.94575,                0.81923,                  0.937,                0.91672,                 0.7651,                0.56043,                0.31662,                0.86945,              0.0099812,              0.0099812,              0.0099812
                     21,                0.62985,                0.37645,                0.94545,                0.85666,                0.93264,                 0.9264,                 0.7707,                0.55373,                0.31029,                0.86808,              0.0099802,              0.0099802,              0.0099802
                     22,                0.62856,                0.37606,                0.94567,                0.88059,                0.93093,                0.93495,                0.78486,                0.55442,                0.31536,                0.86734,              0.0099792,              0.0099792,              0.0099792
                     23,                0.62553,                0.37118,                0.94451,                0.88474,                0.92291,                 0.9307,                0.78064,                0.54951,                0.30995,                0.86705,              0.0099782,              0.0099782,              0.0099782
                     24,                0.62029,                0.36773,                0.94336,                0.86983,                 0.9179,                0.92808,                0.77922,                0.54657,                  0.304,                0.86458,              0.0099772,              0.0099772,              0.0099772
