                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.99358,                 1.0296,                 1.1216,                0.78915,                0.58424,                0.67034,                0.51006,                0.73824,                0.53518,                0.92689,              0.0033304,              0.0033304,              0.0033304
                      2,                0.78454,                0.57353,                0.99058,                0.73697,                0.76848,                0.78501,                0.61127,                 0.6959,                0.49727,                0.91995,              0.0066631,              0.0066631,              0.0066631
                      3,                0.80547,                0.57681,                 1.0008,                0.76581,                0.75508,                0.78955,                0.57897,                0.73088,                0.53453,                0.94138,              0.0099951,              0.0099951,              0.0099951
                      4,                0.80624,                0.56778,                 1.0059,                0.75891,                0.73537,                0.80008,                0.60805,                0.71747,                0.48429,                0.94258,               0.009997,               0.009997,               0.009997
                      5,                0.76943,                0.52794,                0.99017,                 0.7715,                0.82432,                0.83833,                0.64558,                0.67466,                0.45945,                0.92185,               0.009996,               0.009996,               0.009996
                      6,                0.74555,                0.50349,                0.98276,                0.79564,                 0.8463,                0.85887,                0.65498,                 0.6551,                0.43187,                0.90595,              0.0099951,              0.0099951,              0.0099951
                      7,                0.73274,                0.48488,                 0.9758,                0.77898,                0.87608,                0.85895,                0.67093,                0.64727,                0.41632,                0.90196,              0.0099941,              0.0099941,              0.0099941
                      8,                0.71255,                0.46711,                0.97027,                0.82693,                 0.8589,                0.87299,                0.70076,                0.62888,                0.40908,                0.89396,              0.0099931,              0.0099931,              0.0099931
                      9,                0.70273,                0.45467,                0.96574,                0.81242,                0.88023,                0.87707,                0.71346,                0.62266,                0.39531,                0.89266,              0.0099921,              0.0099921,              0.0099921
                     10,                0.69447,                0.44637,                0.96245,                0.83138,                0.89995,                0.89131,                0.71707,                0.61465,                0.38455,                0.89092,              0.0099911,              0.0099911,              0.0099911
                     11,                0.68867,                0.43838,                0.96049,                0.79028,                0.89245,                0.86631,                0.72142,                 0.6056,                 0.3773,                0.88804,              0.0099901,              0.0099901,              0.0099901
                     12,                0.67944,                0.43013,                0.95343,                0.83146,                0.90664,                 0.8959,                0.72259,                0.60407,                0.37034,                0.88272,              0.0099891,              0.0099891,              0.0099891
                     13,                0.67402,                0.42468,                0.95117,                0.85649,                0.88733,                0.89591,                0.72484,                0.59663,                0.37189,                0.88189,              0.0099881,              0.0099881,              0.0099881
                     14,                0.66808,                0.41764,                0.95165,                0.81511,                 0.9089,                0.89102,                0.73214,                0.59233,                 0.3588,                0.87465,              0.0099871,              0.0099871,              0.0099871
                     15,                0.66425,                0.41401,                0.94806,                0.83149,                0.89051,                 0.9058,                0.73845,                0.58886,                0.35076,                0.87768,              0.0099861,              0.0099861,              0.0099861
