                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1567,                 1.5751,                 1.1887,                0.77486,                0.35872,                0.36413,                0.25537,                0.87626,                0.90927,                 1.0023,              0.0033304,              0.0033304,              0.0033304
                      2,                0.92563,                0.88633,                 1.0385,                0.69802,                0.50935,                0.51445,                0.37222,                 0.8124,                 0.7643,                0.98035,              0.0066631,              0.0066631,              0.0066631
                      3,                0.92305,                0.80398,                 1.0333,                0.76474,                0.56441,                0.59756,                0.42384,                0.84223,                0.72899,                0.98844,              0.0099951,              0.0099951,              0.0099951
                      4,                0.90436,                0.73095,                 1.0276,                0.57329,                0.68611,                0.66273,                0.48455,                 0.8103,                0.65339,                0.97886,               0.009997,               0.009997,               0.009997
                      5,                0.86096,                0.65973,                 1.0076,                0.72841,                0.72678,                0.73985,                0.54553,                0.75964,                0.55939,                0.94752,               0.009997,               0.009997,               0.009997
                      6,                0.83487,                0.62126,                 1.0002,                0.70734,                0.76354,                0.76137,                 0.5792,                0.73501,                 0.5351,                0.94079,               0.009996,               0.009996,               0.009996
                      7,                 0.8209,                0.59624,                0.99222,                0.76092,                 0.7589,                0.79518,                0.58804,                0.72834,                0.52453,                0.93066,              0.0099951,              0.0099951,              0.0099951
                      8,                0.79767,                0.57258,                0.98476,                0.74193,                 0.7917,                0.80226,                0.60232,                0.71029,                0.49835,                0.92457,              0.0099941,              0.0099941,              0.0099941
                      9,                0.78644,                0.55597,                0.97933,                0.78492,                0.77227,                0.83461,                0.63099,                0.69783,                0.47907,                0.91792,              0.0099931,              0.0099931,              0.0099931
                     10,                0.77752,                 0.5452,                0.97703,                 0.7716,                 0.8197,                0.82119,                0.61704,                0.68574,                0.47416,                0.91164,              0.0099921,              0.0099921,              0.0099921
                     11,                0.77086,                0.53611,                0.97429,                0.78127,                0.79274,                0.81565,                0.64061,                0.68552,                0.46701,                0.90789,              0.0099911,              0.0099911,              0.0099911
                     12,                0.76143,                0.52537,                0.96786,                0.74307,                0.85728,                0.82648,                0.64519,                0.67444,                0.45955,                0.90687,              0.0099901,              0.0099901,              0.0099901
                     13,                0.75516,                0.51763,                0.96622,                0.81488,                0.81676,                0.85922,                0.66858,                0.66535,                0.44667,                0.90191,              0.0099891,              0.0099891,              0.0099891
                     14,                 0.7473,                0.50901,                 0.9639,                0.76457,                0.82217,                0.81437,                0.64119,                0.67053,                 0.4469,                0.90122,              0.0099881,              0.0099881,              0.0099881
                     15,                0.74543,                  0.506,                0.96319,                0.75851,                0.79953,                0.82254,                0.65662,                 0.6562,                0.43473,                 0.8971,              0.0099871,              0.0099871,              0.0099871
                     16,                0.73989,                0.50102,                0.95984,                0.74285,                 0.8451,                0.79865,                0.63394,                0.65554,                0.43444,                0.89579,              0.0099861,              0.0099861,              0.0099861
                     17,                0.73491,                 0.4958,                0.95814,                0.79114,                0.86236,                 0.8463,                0.67048,                0.64957,                0.42553,                0.89363,              0.0099851,              0.0099851,              0.0099851
                     18,                0.73412,                0.49106,                0.95668,                0.76175,                0.85507,                0.81485,                0.65733,                0.64768,                0.42095,                0.89312,              0.0099842,              0.0099842,              0.0099842
                     19,                0.73089,                0.48728,                0.95621,                0.78855,                0.85329,                0.84428,                0.66453,                0.64091,                0.41889,                0.89058,              0.0099832,              0.0099832,              0.0099832
                     20,                 0.7242,                0.48278,                0.95431,                0.78918,                0.86358,                0.84908,                0.67719,                0.64281,                 0.4164,                0.88756,              0.0099822,              0.0099822,              0.0099822
                     21,                0.72395,                0.48005,                0.95358,                0.77675,                 0.8675,                0.86028,                0.69025,                0.63712,                0.41515,                 0.8832,              0.0099812,              0.0099812,              0.0099812
                     22,                0.72237,                0.47955,                0.95359,                 0.7869,                0.86453,                0.85406,                0.68577,                0.63191,                0.40725,                0.88583,              0.0099802,              0.0099802,              0.0099802
                     23,                0.71796,                0.47375,                0.95051,                0.74287,                0.87097,                0.84783,                 0.6852,                0.63154,                0.40844,                0.88264,              0.0099792,              0.0099792,              0.0099792
                     24,                0.71411,                0.47073,                0.95001,                 0.7766,                0.84954,                0.84157,                0.67749,                0.62361,                0.39767,                0.87949,              0.0099782,              0.0099782,              0.0099782
                     25,                0.71449,                0.47028,                 0.9503,                0.79257,                0.86561,                 0.8626,                0.69317,                 0.6222,                0.39907,                0.88012,              0.0099772,              0.0099772,              0.0099772
                     26,                0.71192,                0.46798,                0.94877,                0.79681,                0.84563,                 0.8521,                0.68854,                0.61745,                0.39104,                0.87674,              0.0099762,              0.0099762,              0.0099762
                     27,                0.70872,                0.46419,                0.94631,                0.76925,                0.86593,                0.85185,                0.69008,                0.61757,                0.39659,                0.87628,              0.0099753,              0.0099753,              0.0099753
                     28,                0.70711,                0.46211,                0.94815,                0.77948,                0.88266,                0.87086,                 0.7056,                    inf,                0.39051,                0.87517,              0.0099743,              0.0099743,              0.0099743
                     29,                0.70778,                 0.4636,                0.94603,                0.76813,                0.90635,                0.87012,                0.70302,                0.61238,                0.38569,                0.87301,              0.0099733,              0.0099733,              0.0099733
                     30,                0.70646,                0.45988,                0.94571,                0.82151,                0.86132,                0.88712,                0.71355,                0.61236,                0.38624,                0.87352,              0.0099723,              0.0099723,              0.0099723
                     31,                0.70193,                0.45835,                0.94461,                0.77625,                0.90809,                0.87818,                0.71507,                0.61206,                0.38534,                0.87289,              0.0099713,              0.0099713,              0.0099713
                     32,                0.70146,                0.45572,                0.94438,                0.79291,                0.86775,                0.87219,                 0.7088,                0.60996,                 0.3845,                0.86979,              0.0099703,              0.0099703,              0.0099703
                     33,                0.69893,                0.45477,                0.94343,                0.78657,                0.90752,                0.87587,                0.70777,                0.60763,                0.38158,                0.86895,              0.0099693,              0.0099693,              0.0099693
                     34,                0.69874,                0.45342,                 0.9436,                0.81799,                0.90109,                0.88866,                0.72155,                0.60687,                0.37702,                0.86813,              0.0099683,              0.0099683,              0.0099683
                     35,                0.69651,                0.45219,                0.94233,                0.82383,                0.89045,                0.89587,                0.72355,                0.60587,                0.37646,                0.86895,              0.0099673,              0.0099673,              0.0099673
                     36,                0.69332,                0.44897,                0.94199,                0.81787,                0.86542,                0.88422,                0.70852,                0.60348,                 0.3752,                0.86815,              0.0099663,              0.0099663,              0.0099663
                     37,                0.69595,                0.44934,                0.94187,                0.82331,                0.85529,                0.88564,                0.71567,                0.60175,                0.37372,                0.86726,              0.0099654,              0.0099654,              0.0099654
                     38,                 0.6938,                0.44564,                0.94117,                 0.7997,                0.87465,                0.89137,                 0.7275,                0.60155,                0.37385,                0.86688,              0.0099644,              0.0099644,              0.0099644
                     39,                0.69558,                0.44849,                0.94122,                0.81041,                0.87065,                0.89959,                0.73044,                0.60106,                0.37135,                0.86643,              0.0099634,              0.0099634,              0.0099634
                     40,                0.69046,                0.44496,                0.94054,                0.83607,                0.87285,                0.90214,                0.73724,                0.60044,                0.36934,                0.86654,              0.0099624,              0.0099624,              0.0099624
                     41,                0.69142,                0.44584,                0.94061,                0.81933,                0.88172,                0.90391,                0.74152,                0.60001,                0.36817,                0.86571,              0.0099614,              0.0099614,              0.0099614
                     42,                 0.6913,                0.44466,                0.93892,                0.83352,                0.87095,                0.89953,                0.73452,                0.59855,                0.36647,                0.86455,              0.0099604,              0.0099604,              0.0099604
                     43,                0.68979,                0.44402,                0.93947,                0.80839,                 0.9005,                0.89533,                0.73428,                0.59732,                 0.3656,                  0.864,              0.0099594,              0.0099594,              0.0099594
                     44,                 0.6883,                0.44037,                0.93869,                0.81317,                0.90512,                0.89648,                0.73261,                0.59694,                0.36491,                0.86384,              0.0099584,              0.0099584,              0.0099584
                     45,                0.68685,                0.43911,                0.93808,                0.81238,                0.89631,                0.89815,                0.73643,                    inf,                0.36442,                 0.8633,              0.0099574,              0.0099574,              0.0099574
                     46,                0.68818,                0.43985,                 0.9377,                0.81079,                0.89991,                0.90055,                0.73855,                0.59645,                0.36349,                0.86324,              0.0099564,              0.0099564,              0.0099564
                     47,                0.68637,                0.43804,                0.93779,                0.81626,                0.88753,                  0.901,                0.73819,                  0.596,                0.36328,                0.86293,              0.0099555,              0.0099555,              0.0099555
                     48,                0.68672,                0.43916,                0.93802,                 0.8109,                0.89727,                0.90077,                0.73857,                0.59564,                0.36273,                 0.8627,              0.0099545,              0.0099545,              0.0099545
                     49,                0.68493,                0.43598,                0.93687,                0.80161,                0.89919,                 0.8986,                0.73776,                 0.5958,                0.36176,                0.86258,              0.0099535,              0.0099535,              0.0099535
                     50,                 0.6843,                0.43761,                0.93745,                0.79346,                0.91549,                0.89843,                0.73833,                0.59432,                0.36109,                0.86206,              0.0099525,              0.0099525,              0.0099525
                     51,                0.68356,                0.43482,                0.93544,                0.79529,                0.90271,                0.89584,                0.74093,                0.59385,                 0.3606,                0.86172,              0.0099515,              0.0099515,              0.0099515
