                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.9553,                0.98405,                 1.1269,                0.66229,                0.75748,                 0.7264,                0.54159,                0.69814,                0.47551,                0.91791,              0.0033304,              0.0033304,              0.0033304
                      2,                0.78602,                0.55397,                 1.0032,                0.75774,                0.78455,                0.79583,                0.59343,                0.69363,                0.47204,                0.92472,              0.0066631,              0.0066631,              0.0066631
                      3,                0.81803,                0.56957,                 1.0166,                0.73769,                0.74908,                 0.7658,                0.57398,                0.74299,                0.52797,                0.95615,              0.0099951,              0.0099951,              0.0099951
                      4,                0.81835,                0.56539,                 1.0217,                0.76201,                0.77397,                0.79802,                0.59896,                0.71253,                0.49395,                0.95673,               0.009997,               0.009997,               0.009997
                      5,                0.77689,                0.52496,                  1.003,                0.80178,                 0.8213,                0.83929,                0.62868,                 0.6914,                0.47276,                 0.9406,               0.009996,               0.009996,               0.009996
                      6,                 0.7527,                0.50053,                0.99431,                0.82262,                 0.7677,                0.84352,                0.64341,                0.67064,                0.43435,                0.92521,              0.0099951,              0.0099951,              0.0099951
                      7,                0.73691,                0.48129,                0.98697,                0.79741,                0.86546,                0.84465,                 0.6568,                0.64089,                0.40396,                0.90703,              0.0099941,              0.0099941,              0.0099941
                      8,                0.71526,                0.46145,                0.97909,                0.76239,                0.87637,                0.85967,                 0.6934,                 0.6193,                0.39211,                0.90287,              0.0099931,              0.0099931,              0.0099931
                      9,                0.70397,                0.44976,                0.97332,                0.83224,                0.86837,                0.88198,                0.72018,                0.61745,                0.38168,                0.89161,              0.0099921,              0.0099921,              0.0099921
                     10,                 0.6961,                0.44091,                0.97142,                 0.8555,                 0.8534,                0.90197,                0.71902,                0.61247,                0.37291,                0.89673,              0.0099911,              0.0099911,              0.0099911
                     11,                0.68896,                 0.4334,                0.96765,                0.82566,                0.90517,                0.90864,                0.74502,                0.60473,                0.37055,                0.89334,              0.0099901,              0.0099901,              0.0099901
                     12,                0.67944,                0.42515,                0.96108,                0.83092,                0.89992,                0.89769,                0.72362,                0.59685,                0.36398,                0.88763,              0.0099891,              0.0099891,              0.0099891
                     13,                0.67392,                0.41857,                0.95914,                0.84196,                0.87504,                0.90232,                0.74083,                0.59559,                0.35355,                0.88628,              0.0099881,              0.0099881,              0.0099881
                     14,                0.66683,                0.41162,                0.95805,                0.82086,                0.92496,                0.89876,                0.73323,                0.58974,                0.35326,                0.88391,              0.0099871,              0.0099871,              0.0099871
                     15,                0.66372,                0.40803,                 0.9568,                0.85804,                0.91084,                0.91273,                 0.7411,                0.58487,                0.33937,                0.88331,              0.0099861,              0.0099861,              0.0099861
                     16,                0.65822,                 0.4044,                0.95276,                0.88632,                0.91133,                0.93358,                0.77037,                0.57739,                0.33269,                0.87755,              0.0099851,              0.0099851,              0.0099851
                     17,                0.65316,                0.39904,                0.95139,                0.86019,                0.89728,                0.90754,                0.74964,                0.57292,                0.33523,                0.87556,              0.0099842,              0.0099842,              0.0099842
                     18,                 0.6526,                0.39403,                0.94958,                0.85332,                0.92679,                0.92401,                0.77241,                0.56917,                0.32831,                0.87364,              0.0099832,              0.0099832,              0.0099832
                     19,                0.64807,                0.39104,                0.94864,                0.86622,                0.87936,                0.91505,                0.75501,                0.56425,                0.32485,                0.87559,              0.0099822,              0.0099822,              0.0099822
                     20,                0.64405,                0.38757,                0.94669,                0.82018,                0.92638,                 0.9127,                0.75587,                0.56522,                0.32412,                0.87001,              0.0099812,              0.0099812,              0.0099812
                     21,                0.64063,                0.38539,                0.94604,                0.86617,                0.90234,                0.91027,                0.75864,                0.55997,                0.32302,                 0.8683,              0.0099802,              0.0099802,              0.0099802
